Time,Router,Mechanisms,Type,Packets
22,R10,DeepAuC,CacheMisses,664
22,R11,DeepAuC,CacheMisses,671
22,R12,DeepAuC,CacheMisses,661
22,R13,DeepAuC,CacheMisses,661
22,R14,DeepAuC,CacheMisses,671
22,R15,DeepAuC,CacheMisses,671
22,R16,DeepAuC,CacheMisses,671
22,R17,DeepAuC,CacheMisses,670
22,R18,DeepAuC,CacheMisses,670
22,R19,DeepAuC,CacheMisses,661
22,R20,DeepAuC,CacheMisses,670
22,R21,DeepAuC,CacheMisses,664
22,R22,DeepAuC,CacheMisses,664
22,R23,DeepAuC,CacheMisses,661
23,R1,DeepAuC,CacheMisses,646
23,R2,DeepAuC,CacheMisses,646
23,R3,DeepAuC,CacheMisses,646
23,R4,DeepAuC,CacheMisses,646
23,R5,DeepAuC,CacheMisses,646
23,R6,DeepAuC,CacheMisses,647
23,R7,DeepAuC,CacheMisses,646
23,R8,DeepAuC,CacheMisses,647
23,R9,DeepAuC,CacheMisses,647
23,R10,DeepAuC,CacheMisses,647
23,R11,DeepAuC,CacheMisses,646
23,R12,DeepAuC,CacheMisses,647
23,R13,DeepAuC,CacheMisses,647
23,R14,DeepAuC,CacheMisses,646
23,R15,DeepAuC,CacheMisses,646
23,R16,DeepAuC,CacheMisses,646
23,R17,DeepAuC,CacheMisses,646
23,R18,DeepAuC,CacheMisses,646
23,R19,DeepAuC,CacheMisses,647
23,R20,DeepAuC,CacheMisses,646
23,R21,DeepAuC,CacheMisses,647
23,R22,DeepAuC,CacheMisses,647
23,R23,DeepAuC,CacheMisses,647
24,R1,DeepAuC,CacheHits,808
24,R1,DeepAuC,CacheMisses,692
24,R2,DeepAuC,CacheHits,392
24,R2,DeepAuC,CacheMisses,689
24,R3,DeepAuC,CacheHits,392
24,R3,DeepAuC,CacheMisses,689
24,R4,DeepAuC,CacheMisses,787
24,R5,DeepAuC,CacheMisses,793
24,R6,DeepAuC,CacheMisses,800
24,R7,DeepAuC,CacheMisses,793
24,R8,DeepAuC,CacheMisses,800
24,R9,DeepAuC,CacheMisses,800
24,R10,DeepAuC,CacheMisses,800
24,R11,DeepAuC,CacheMisses,787
24,R12,DeepAuC,CacheMisses,803
24,R13,DeepAuC,CacheMisses,803
24,R14,DeepAuC,CacheMisses,787
24,R15,DeepAuC,CacheMisses,787
24,R16,DeepAuC,CacheMisses,787
24,R17,DeepAuC,CacheMisses,793
24,R18,DeepAuC,CacheMisses,793
24,R19,DeepAuC,CacheMisses,803
24,R20,DeepAuC,CacheMisses,793
24,R21,DeepAuC,CacheMisses,800
24,R22,DeepAuC,CacheMisses,800
24,R23,DeepAuC,CacheMisses,803
